"Package","Version"
"abind","1.4-8"
"arrayhelpers","1.1-0"
"ash","1.0-15"
"askpass","1.2.1"
"backports","1.5.0"
"base64enc","0.1-3"
"bayesplot","1.12.0"
"bitops","1.0-9"
"broom","1.0.8"
"bslib","0.9.0"
"cachem","1.1.0"
"car","3.1-3"
"carData","3.0-5"
"changepoint","2.3"
"checkmate","2.3.2"
"classInt","0.4-11"
"cli","3.6.5"
"clv","0.3-2.4"
"coda","0.19-4.1"
"colorspace","2.1-1"
"cowplot","1.1.3"
"cpp11","0.5.2"
"crosstalk","1.2.1"
"crsmeta","0.3.0"
"curl","6.3.0"
"data.table","1.17.4"
"DBI","1.2.3"
"dbscan","1.2.2"
"Deriv","4.1.6"
"deSolve","1.40"
"digest","0.6.37"
"distributional","0.5.0"
"doBy","4.6.27"
"doParallel","1.0.17"
"dotCall64","1.2"
"dplyr","1.1.4"
"DT","0.33"
"dtw","1.23-1"
"e1071","1.7-16"
"ellipse","0.5.0"
"emmeans","1.11.1"
"estimability","1.5.1"
"evaluate","1.0.3"
"FactoMineR","2.11"
"fansi","1.0.6"
"farver","2.1.2"
"fastcluster","1.3.0"
"fastmap","1.2.0"
"fda","6.3.0"
"fdacluster","0.4.1"
"fdasrvf","2.3.6"
"fds","1.8"
"fields","16.3.1"
"flashClust","1.01-2"
"FNN","1.1.4.1"
"fontawesome","0.5.3"
"foreach","1.5.2"
"Formula","1.2-5"
"fs","1.6.6"
"future","1.58.0"
"future.apply","1.20.0"
"generics","0.1.4"
"ggdist","3.3.3"
"ggmap","4.0.1"
"ggplot2","3.5.2"
"ggrepel","0.9.6"
"ggridges","0.5.6"
"globals","0.18.0"
"glue","1.8.0"
"gridExtra","2.3"
"gtable","0.3.6"
"hdrcde","3.4"
"highr","0.11"
"htmltools","0.5.8.1"
"htmlwidgets","1.6.4"
"httpuv","1.6.16"
"httr","1.4.7"
"httr2","1.1.2"
"igraph","2.1.4"
"isoband","0.2.7"
"iterators","1.0.14"
"jpeg","0.1-11"
"jquerylib","0.1.4"
