"Package","Version"
"abind","1.4-5"
"arrayhelpers","1.1-0"
"askpass","1.2.0"
"assertive.base","0.0-9"
"assertive.properties","0.0-5"
"assertive.types","0.0-3"
"backports","1.4.1"
"base64enc","0.1-3"
"bayesplot","1.10.0"
"bit","4.0.5"
"bit64","4.0.5"
"bitops","1.0-7"
"blob","1.2.4"
"brew","1.0-8"
"brio","1.1.3"
"broom","1.0.5"
"bslib","0.5.1"
"cachem","1.0.8"
"callr","3.7.3"
"car","3.1-2"
"carData","3.0-5"
"cellranger","1.1.0"
"changepoint","2.2.4"
"checkmate","2.2.0"
"classInt","0.4-9"
"cli","3.6.1"
"clipr","0.8.0"
"ClustGeo","2.1"
"clv","0.3-2.4"
"coda","0.19-4"
"colorspace","2.1-0"
"commonmark","1.9.0"
"conflicted","1.2.0"
"corrplot","0.92"
"cowplot","1.1.1"
"cpp11","0.4.7"
"crayon","1.5.2"
"credentials","2.0.1"
"crosstalk","1.2.0"
"crsmeta","0.3.0"
"curl","5.0.1"
"data.table","1.14.8"
"DBI","1.1.3"
"dbplyr","2.3.3"
"dbscan","1.1-12"
"deldir","1.0-9"
"desc","1.4.2"
"deSolve","1.40"
"devtools","2.4.5"
"diffobj","0.3.5"
"digest","0.6.32"
"distributional","0.3.2"
"doParallel","1.0.17"
"dotCall64","1.1-1"
"downlit","0.4.3"
"dplyr","1.1.2"
"DT","0.29"
"dtplyr","1.3.1"
"dtw","1.23-1"
"e1071","1.7-13"
"ellipse","0.5.0"
"ellipsis","0.3.2"
"emmeans","1.8.8"
"estimability","1.4.1"
"evaluate","0.21"
"explor","0.3.10"
"FactoMineR","2.8"
"fansi","1.0.4"
"farver","2.1.1"
"fastcluster","1.2.3"
"fastmap","1.1.1"
"fda","6.1.4"
"fdacluster","0.3.0"
"fdasrvf","2.1.2"
"fds","1.8"
"fields","15.2"
"flashClust","1.01-2"
"FNN","1.1.4"
"fontawesome","0.5.1"
"forcats","1.0.0"
"foreach","1.5.2"
"formatR","1.14"
"fs","1.6.3"
"furrr","0.3.1"
"future","1.32.0"
"future.apply","1.11.0"
"gargle","1.5.2"
"generics","0.1.3"
"gert","2.0.0"
"ggdendro","0.2.0"
"ggdist","3.3.0"
"ggmap","3.0.2.9002"
"ggplot2","3.4.4"
"ggpubr","0.6.0"
"ggrepel","0.9.3"
"ggridges","0.5.4"
"ggsci","3.0.0"
"ggsignif","0.6.4"
"gh","1.4.0"
"gitcreds","0.1.2"
"globals","0.16.2"
"glue","1.6.2"
"googledrive","2.1.1"
"googlesheets4","1.1.1"
"gridExtra","2.3"
"gtable","0.3.4"
"haven","2.5.3"
"hdrcde","3.4"
"hexbin","1.28.3"
"highr","0.10"
"hms","1.1.3"
"htmltools","0.5.6"
"htmlwidgets","1.6.2"
"httpuv","1.6.11"
"httr","1.4.7"
"httr2","0.2.3"
"ids","1.0.1"
"igraph","1.6.0"
"ini","0.3.1"
"installr","0.23.4"
"interp","1.1-4"
"isoband","0.2.7"
"iterators","1.0.14"
"jpeg","0.1-10"
"jquerylib","0.1.4"
"jsonlite","1.8.7"
"kernlab","0.9-32"
"knitr","1.43"
"ks","1.14.2"
"labdsv","2.1-0"
"labeling","0.4.3"
"later","1.3.1"
"latticeExtra","0.6-30"
"lazyeval","0.2.2"
"leaflet","2.2.1"
"leaflet.minicharts","0.6.2"
"leaflet.providers","2.0.0"
"leafpop","0.1.0"
"leaps","3.1"
"lifecycle","1.0.3"
"listenv","0.9.0"
"lme4","1.1-34"
"locfit","1.5-9.8"
"longitudinalData","2.4.5.1"
"loo","2.6.0"
