"geometry";"rivers";"model_type";"stat";"NCP";"X";"Y";"alt";"id"
"1";c(4330623.8635417, 2563174.78638625, 389);"Adda";"M1";"Est";1;4330623.8635417;2563174.78638625;389;"Only_point"
"2";c(4330870.62856403, 2563704.86364136, 392);"Adda";"M1";"Low";1;4330870.62856403;2563704.86364136;392;"Only_point"
"3";c(4330337.24923671, 2562729.92466102, 387);"Adda";"M1";"Up";1;4330337.24923671;2562729.92466102;387;"Only_point"
"4";c(4335239.57298944, 2567764.17826087, 447);"Adda";"M2";"Est";2;4335239.57298944;2567764.17826087;447;"Upper_point"
"5";c(4335677.76531501, 2568001.17976565, 459);"Adda";"M2";"Low";2;4335677.76531501;2568001.17976565;459;"Upper_point"
"6";c(4334779.52525941, 2567380.33716897, 439);"Adda";"M2";"Up";2;4334779.52525941;2567380.33716897;439;"Upper_point"
"7";c(4294716.74287309, 2461152.72091069, 47);"Adda";"M2";"Est";2;4294716.74287309;2461152.72091069;47;"Lower_point"
"8";c(4293015.79196704, 2463535.51525658, 55);"Adda";"M2";"Low";2;4293015.79196704;2463535.51525658;55;"Lower_point"
"9";c(4299085.00903839, 2460469.8590613, 47);"Adda";"M2";"Up";2;4299085.00903839;2460469.8590613;47;"Lower_point"
"10";c(4412577.4874711, 2474264.57685116, 24);"Adige";"M1";"Est";1;4412577.4874711;2474264.57685116;24;"Only_point"
"11";c(4411269.54773191, 2474200.46039594, 25);"Adige";"M1";"Low";1;4411269.54773191;2474200.46039594;25;"Only_point"
"12";c(4413605.76191607, 2474047.38122215, 26);"Adige";"M1";"Up";1;4413605.76191607;2474047.38122215;26;"Only_point"
"13";c(4409042.27493052, 2474657.59546893, 26);"Adige";"M2";"Est";2;4409042.27493052;2474657.59546893;26;"Upper_point"
"14";c(4405509.805026, 2475685.02951506, 30);"Adige";"M2";"Low";2;4405509.805026;2475685.02951506;30;"Upper_point"
"15";c(4412413.98578141, 2474151.45551134, 24);"Adige";"M2";"Up";2;4412413.98578141;2474151.45551134;24;"Upper_point"
