"geometry";"rivers";"model_type";"stat";"X";"Y";"alt";"id"
"1";c(4335013.2268099, 2567573.42447583, 445);"Adda";"M1";"Est";4335013.2268099;2567573.42447583;445;"Only_point"
"2";c(4335589.61950933, 2567962.24439341, 463);"Adda";"M1";"Low";4335589.61950933;2567962.24439341;463;"Only_point"
"3";c(4334395.02214019, 2567067.00957625, 435);"Adda";"M1";"Up";4334395.02214019;2567067.00957625;435;"Only_point"
"4";c(4340656.81615254, 2572482.68521029, 553);"Adda";"M2";"Est";4340656.81615254;2572482.68521029;553;"Upper_point"
"5";c(4340984.84119237, 2573718.99983377, 580);"Adda";"M2";"Low";4340984.84119237;2573718.99983377;580;"Upper_point"
"6";c(4340046.53990481, 2571468.17021045, 539);"Adda";"M2";"Up";4340046.53990481;2571468.17021045;539;"Upper_point"
"7";c(4312753.65519569, 2560822.38493088, 286);"Adda";"M2";"Est";4312753.65519569;2560822.38493088;286;"Lower_point"
"8";c(4316512.21842771, 2561015.21955068, 301);"Adda";"M2";"Low";4316512.21842771;2561015.21955068;301;"Lower_point"
"9";c(4308758.8845192, 2561068.67599169, 281);"Adda";"M2";"Up";4308758.8845192;2561068.67599169;281;"Lower_point"
"10";c(4412577.4874711, 2474264.57685116, 24);"Adige";"M1";"Est";4412577.4874711;2474264.57685116;24;"Only_point"
"11";c(4411269.54773191, 2474200.46039594, 25);"Adige";"M1";"Low";4411269.54773191;2474200.46039594;25;"Only_point"
"12";c(4413605.76191607, 2474047.38122215, 26);"Adige";"M1";"Up";4413605.76191607;2474047.38122215;26;"Only_point"
"13";c(4409042.27493052, 2474657.59546893, 26);"Adige";"M2";"Est";4409042.27493052;2474657.59546893;26;"Upper_point"
"14";c(4405509.805026, 2475685.02951506, 30);"Adige";"M2";"Low";4405509.805026;2475685.02951506;30;"Upper_point"
"15";c(4412413.98578141, 2474151.45551134, 24);"Adige";"M2";"Up";4412413.98578141;2474151.45551134;24;"Upper_point"
"16";c(4420650.28430947, 2468742.85084188, 19);"Adige";"M2";"Est";4420650.28430947;2468742.85084188;19;"Lower_point"
"17";c(4414136.04065264, 2473873.72549895, 20);"Adige";"M2";"Low";4414136.04065264;2473873.72549895;20;"Lower_point"
"18";c(4421185.44432557, 2462610.89857243, 19);"Adige";"M2";"Up";4421185.44432557;2462610.89857243;19;"Lower_point"
"19";c(3944652.48186482, 2913582.97237419, 113);"Aisne";"M1";"Est";3944652.48186482;2913582.97237419;113;"Only_point"
"20";c(3944956.34208082, 2912590.30965233, 118);"Aisne";"M1";"Low";3944956.34208082;2912590.30965233;118;"Only_point"
"21";c(3944253.62863782, 2914738.64430107, 117);"Aisne";"M1";"Up";3944253.62863782;2914738.64430107;117;"Only_point"
"22";c(3957923.92736122, 2885326.25302802, 160);"Aisne";"M2";"Est";3957923.92736122;2885326.25302802;160;"Upper_point"
"23";c(3957805.70526139, 2885051.17298487, 159);"Aisne";"M2";"Low";3957805.70526139;2885051.17298487;159;"Upper_point"
"24";c(3957948.74500233, 2885719.58107301, 159);"Aisne";"M2";"Up";3957948.74500233;2885719.58107301;159;"Upper_point"
"25";c(3935254.13623942, 2940955.04878007, 87);"Aisne";"M2";"Est";3935254.13623942;2940955.04878007;87;"Lower_point"
"26";c(3935757.65939554, 2940755.50142274, 86);"Aisne";"M2";"Low";3935757.65939554;2940755.50142274;86;"Lower_point"
"27";c(3934856.54457884, 2941600.98383629, 84);"Aisne";"M2";"Up";3934856.54457884;2941600.98383629;84;"Lower_point"
"28";c(3810379.2993526, 2464816.09740065, 499);"Allier";"M1";"Est";3810379.2993526;2464816.09740065;499;"Only_point"
"29";c(3811040.79174439, 2464651.62174207, 504);"Allier";"M1";"Low";3811040.79174439;2464651.62174207;504;"Only_point"
"30";c(3809745.75784865, 2464615.98648452, 502);"Allier";"M1";"Up";3809745.75784865;2464615.98648452;502;"Only_point"
"31";c(3815882.29164395, 2457042.37779527, 542);"Allier";"M2";"Est";3815882.29164395;2457042.37779527;542;"Upper_point"
"32";c(3816276.87800563, 2456637.68987687, 542);"Allier";"M2";"Low";3816276.87800563;2456637.68987687;542;"Upper_point"
"33";c(3815622.71703417, 2457506.37520879, 537);"Allier";"M2";"Up";3815622.71703417;2457506.37520879;537;"Upper_point"
"34";c(3801042.35420528, 2549909.2358057, 292);"Allier";"M2";"Est";3801042.35420528;2549909.2358057;292;"Lower_point"
"35";c(3799372.97491864, 2547145.50787887, 293);"Allier";"M2";"Low";3799372.97491864;2547145.50787887;293;"Lower_point"
"36";c(3802399.24042541, 2552681.99156843, 292);"Allier";"M2";"Up";3802399.24042541;2552681.99156843;292;"Lower_point"
"37";c(3889091.40484327, 2733091.70906384, 209);"Armançon";"M1";"Est";3889091.40484327;2733091.70906384;209;"Only_point"
"38";c(3889235.52703918, 2732643.09803619, 211);"Armançon";"M1";"Low";3889235.52703918;2732643.09803619;211;"Only_point"
"39";c(3889064.0424224, 2733651.81678794, 210);"Armançon";"M1";"Up";3889064.0424224;2733651.81678794;210;"Only_point"
"40";c(3889603.34750011, 2732319.68429808, 211);"Armançon";"M2";"Est";3889603.34750011;2732319.68429808;211;"Upper_point"
"41";c(3889979.7109173, 2731969.02040153, 214);"Armançon";"M2";"Low";3889979.7109173;2731969.02040153;214;"Upper_point"
"42";c(3889227.50432729, 2732741.85575293, 211);"Armançon";"M2";"Up";3889227.50432729;2732741.85575293;211;"Upper_point"
"43";c(3857946.71346087, 2781867.86042432, 105);"Armançon";"M2";"Est";3857946.71346087;2781867.86042432;105;"Lower_point"
"44";c(3859175.60415671, 2779941.9774029, 107);"Armançon";"M2";"Low";3859175.60415671;2779941.9774029;107;"Lower_point"
"45";c(3856461.64196079, 2783877.64941566, 106);"Armançon";"M2";"Up";3856461.64196079;2783877.64941566;106;"Lower_point"
"46";c(3933392.16057236, 2797155.060066, 183);"Aube";"M1";"Est";3933392.16057236;2797155.060066;183;"Only_point"
"47";c(3934171.0831785, 2796705.16372256, 185);"Aube";"M1";"Low";3934171.0831785;2796705.16372256;185;"Only_point"
"48";c(3932806.07089821, 2797506.52189608, 182);"Aube";"M1";"Up";3932806.07089821;2797506.52189608;182;"Only_point"
"49";c(3937079.15138631, 2769663.93940667, 249);"Aube";"M2";"Est";3937079.15138631;2769663.93940667;249;"Upper_point"
"50";c(3937510.30138695, 2769603.98756461, 249);"Aube";"M2";"Low";3937510.30138695;2769603.98756461;249;"Upper_point"
"51";c(3936841.34555218, 2769848.43270677, 249);"Aube";"M2";"Up";3936841.34555218;2769848.43270677;249;"Upper_point"
"52";c(3910522.63448156, 2825667.67446736, 111);"Aube";"M2";"Est";3910522.63448156;2825667.67446736;111;"Lower_point"
"53";c(3910705.7698668, 2825053.23094742, 114);"Aube";"M2";"Low";3910705.7698668;2825053.23094742;114;"Lower_point"
"54";c(3909984.31232953, 2825845.67456448, 117);"Aube";"M2";"Up";3909984.31232953;2825845.67456448;117;"Lower_point"
"55";c(3684514.52338469, 2221100.27392187, 405);"Aude";"M1";"Est";3684514.52338469;2221100.27392187;405;"Only_point"
"56";c(3684547.77189193, 2221006.69571122, 407);"Aude";"M1";"Low";3684547.77189193;2221006.69571122;407;"Only_point"
"57";c(3684658.61715709, 2221302.78424899, 404);"Aude";"M1";"Up";3684658.61715709;2221302.78424899;404;"Only_point"
"58";c(3678520.6702056, 2219059.55439713, 554);"Aude";"M2";"Est";3678520.6702056;2219059.55439713;554;"Upper_point"
"59";c(3677985.63586637, 2219067.9072016, 560);"Aude";"M2";"Low";3677985.63586637;2219067.9072016;560;"Upper_point"
"60";c(3678259.77717091, 2218997.80811102, 549);"Aude";"M2";"Up";3678259.77717091;2218997.80811102;549;"Upper_point"
"61";c(3687989.25534066, 2236614.84341477, 226);"Aude";"M2";"Est";3687989.25534066;2236614.84341477;226;"Lower_point"
"62";c(3687168.93849423, 2236383.76165136, 230);"Aude";"M2";"Low";3687168.93849423;2236383.76165136;230;"Lower_point"
"63";c(3688201.2722137, 2237032.04203925, 223);"Aude";"M2";"Up";3688201.2722137;2237032.04203925;223;"Lower_point"
"64";c(6619250.20942729, 1973075.07760037, 78);"Ceyhan";"M1";"Est";6619250.20942729;1973075.07760037;78;"Only_point"
"65";c(6619634.12004293, 1973560.76444041, 77);"Ceyhan";"M1";"Low";6619634.12004293;1973560.76444041;77;"Only_point"
"66";c(6618944.06731431, 1972488.93855092, 79);"Ceyhan";"M1";"Up";6618944.06731431;1972488.93855092;79;"Only_point"
"67";c(6623206.9267102, 1989039.82081653, 135);"Ceyhan";"M2";"Est";6623206.9267102;1989039.82081653;135;"Upper_point"
"68";c(6624183.92720431, 1988528.73712779, 139);"Ceyhan";"M2";"Low";6624183.92720431;1988528.73712779;139;"Upper_point"
"69";c(6622184.60063627, 1989783.72008971, 135);"Ceyhan";"M2";"Up";6622184.60063627;1989783.72008971;135;"Upper_point"
"70";c(6608546.4034418, 1963440.03392889, 39);"Ceyhan";"M2";"Est";6608546.4034418;1963440.03392889;39;"Lower_point"
"71";c(6609598.1104951, 1962551.35584926, 45);"Ceyhan";"M2";"Low";6609598.1104951;1962551.35584926;45;"Lower_point"
"72";c(6607331.59585418, 1962990.35100984, 43);"Ceyhan";"M2";"Up";6607331.59585418;1962990.35100984;43;"Lower_point"
"73";c(3751366.37793533, 2604860.84330751, 213);"Cher";"M1";"Est";3751366.37793533;2604860.84330751;213;"Only_point"
"74";c(3751294.04705312, 2604575.43273485, 217);"Cher";"M1";"Low";3751294.04705312;2604575.43273485;217;"Only_point"
"75";c(3751530.23598018, 2605194.76081661, 218);"Cher";"M1";"Up";3751530.23598018;2605194.76081661;218;"Only_point"
"76";c(3750254.08402752, 2602984.74756859, 224);"Cher";"M2";"Est";3750254.08402752;2602984.74756859;224;"Upper_point"
"77";c(3750055.51417256, 2602832.33284669, 232);"Cher";"M2";"Low";3750055.51417256;2602832.33284669;232;"Upper_point"
"78";c(3750453.55137606, 2603294.42703878, 221);"Cher";"M2";"Up";3750453.55137606;2603294.42703878;221;"Upper_point"
"79";c(3720796.75952291, 2710267.16096559, 98);"Cher";"M2";"Est";3720796.75952291;2710267.16096559;98;"Lower_point"
"80";c(3724351.11568502, 2707739.80973349, 99);"Cher";"M2";"Low";3724351.11568502;2707739.80973349;99;"Lower_point"
"81";c(3716118.38913568, 2711315.88088488, 95);"Cher";"M2";"Up";3716118.38913568;2711315.88088488;95;"Lower_point"
"82";c(3676579.16691668, 2637746.88330538, 132);"Creuse";"M1";"Est";3676579.16691668;2637746.88330538;132;"Only_point"
"83";c(3676018.36626316, 2636849.02947357, 140);"Creuse";"M1";"Low";3676018.36626316;2636849.02947357;140;"Only_point"
"84";c(3675850.35760638, 2638930.7169808, 118);"Creuse";"M1";"Up";3675850.35760638;2638930.7169808;118;"Only_point"
"85";c(3714391.13292743, 2568206.14528785, 444);"Creuse";"M2";"Est";3714391.13292743;2568206.14528785;444;"Upper_point"
